pie,census.year,lnwage,dw,dw2,dw3
0,2001,3.561,NA,NA,NA
0,2006,3.501,-0.060,NA,NA
1,2001,3.378,NA,NA,NA
1,2006,3.386,0.007,NA,NA
1,2011,3.526,0.141,0.148,NA
1,2016,3.566,0.040,0.181,0.188
2,2001,3.461,NA,NA,NA
2,2006,3.455,-0.006,NA,NA
2,2011,3.542,0.087,0.081,NA
2,2016,3.514,-0.028,0.059,0.053
3,2001,3.317,NA,NA,NA
3,2006,3.333,0.015,NA,NA
3,2011,3.570,0.238,0.253,NA
3,2016,3.703,0.133,0.371,0.386
4,2001,3.367,NA,NA,NA
4,2006,3.474,0.107,NA,NA
4,2011,3.492,0.018,0.124,NA
4,2016,3.601,0.109,0.127,0.233
5,2001,3.409,NA,NA,NA
5,2006,3.585,0.177,NA,NA
5,2011,3.639,0.054,0.230,NA
5,2016,3.699,0.060,0.113,0.290
6,2001,3.287,NA,NA,NA
6,2006,3.243,-0.044,NA,NA
6,2011,3.299,0.056,0.012,NA
6,2016,3.308,0.010,0.066,0.021
7,2001,3.376,NA,NA,NA
7,2006,3.383,0.008,NA,NA
7,2011,3.464,0.080,0.088,NA
7,2016,3.377,-0.086,-0.006,0.001
8,2001,3.112,NA,NA,NA
8,2006,3.194,0.081,NA,NA
8,2011,3.273,0.080,0.161,NA
8,2016,3.548,0.274,0.354,0.435
9,2001,3.225,NA,NA,NA
9,2006,3.256,0.031,NA,NA
9,2011,3.365,0.109,0.140,NA
9,2016,3.496,0.131,0.240,0.272
10,2001,3.029,NA,NA,NA
10,2006,2.975,-0.054,NA,NA
10,2011,3.772,0.797,0.743,NA
10,2016,3.699,-0.073,0.724,0.670
11,2001,2.860,NA,NA,NA
11,2006,2.838,-0.022,NA,NA
11,2011,3.239,0.401,0.380,NA
11,2016,3.675,0.435,0.837,0.815
12,2001,3.379,NA,NA,NA
12,2006,3.460,0.081,NA,NA
12,2011,3.333,-0.127,-0.046,NA
12,2016,3.288,-0.045,-0.172,-0.091
13,2001,3.286,NA,NA,NA
13,2006,3.244,-0.042,NA,NA
13,2011,3.407,0.163,0.120,NA
13,2016,3.448,0.041,0.204,0.161
14,2001,3.627,NA,NA,NA
14,2006,3.617,-0.010,NA,NA
14,2011,3.506,-0.111,-0.121,NA
14,2016,3.577,0.071,-0.040,-0.050
15,2001,2.900,NA,NA,NA
15,2006,2.914,0.014,NA,NA
15,2011,3.758,0.844,0.858,NA
15,2016,3.717,-0.041,0.802,0.817
16,2001,3.274,NA,NA,NA
16,2006,3.255,-0.019,NA,NA
16,2011,3.702,0.447,0.428,NA
16,2016,3.348,-0.353,0.094,0.075
17,2001,3.204,NA,NA,NA
17,2006,3.245,0.041,NA,NA
17,2016,3.758,0.513,0.553,NA
18,2001,3.524,NA,NA,NA
18,2006,3.417,-0.107,NA,NA
18,2011,3.609,0.192,0.085,NA
18,2016,3.724,0.115,0.307,0.200
19,2001,3.186,NA,NA,NA
19,2006,3.606,0.421,NA,NA
20,2001,3.442,NA,NA,NA
20,2006,3.360,-0.081,NA,NA
20,2011,3.266,-0.095,-0.176,NA
21,2001,3.041,NA,NA,NA
21,2006,3.367,0.326,NA,NA
21,2011,3.258,-0.109,0.217,NA
21,2016,3.374,0.116,0.007,0.333
22,2001,3.279,NA,NA,NA
22,2006,3.262,-0.017,NA,NA
22,2011,3.414,0.151,0.134,NA
22,2016,3.744,0.330,0.482,0.465
23,2006,2.820,NA,NA,NA
23,2011,3.619,0.799,NA,NA
23,2016,3.409,-0.210,0.589,NA
24,2001,2.967,NA,NA,NA
24,2006,3.223,0.256,NA,NA
24,2011,3.551,0.328,0.584,NA
24,2016,3.707,0.157,0.485,0.741
25,2001,3.075,NA,NA,NA
25,2006,3.075,0.000,NA,NA
25,2011,3.542,0.467,0.467,NA
25,2016,3.135,-0.407,0.060,0.060
26,2001,3.133,NA,NA,NA
26,2006,3.242,0.109,NA,NA
26,2011,2.965,-0.276,-0.167,NA
26,2016,3.492,0.527,0.251,0.360
27,2001,3.278,NA,NA,NA
27,2006,3.350,0.071,NA,NA
27,2016,3.578,0.229,0.300,NA
28,2001,3.177,NA,NA,NA
28,2006,3.138,-0.038,NA,NA
28,2011,3.153,0.015,-0.024,NA
28,2016,3.650,0.497,0.511,0.473
29,2001,3.111,NA,NA,NA
29,2011,3.473,0.363,NA,NA
29,2016,3.396,-0.077,0.285,NA
30,2011,3.494,NA,NA,NA
30,2016,3.198,-0.296,NA,NA
31,2001,2.965,NA,NA,NA
31,2006,3.037,0.071,NA,NA
31,2011,3.615,0.578,0.650,NA
31,2016,2.978,-0.637,-0.059,0.012
32,2001,3.316,NA,NA,NA
32,2006,3.620,0.304,NA,NA
32,2011,3.360,-0.260,0.044,NA
32,2016,3.567,0.207,-0.053,0.251
33,2001,3.473,NA,NA,NA
33,2006,3.251,-0.222,NA,NA
33,2011,3.320,0.068,-0.153,NA
33,2016,3.136,-0.184,-0.115,-0.337
34,2001,3.009,NA,NA,NA
34,2006,3.481,0.473,NA,NA
34,2011,3.294,-0.187,0.286,NA
34,2016,3.120,-0.174,-0.361,0.112
35,2001,3.433,NA,NA,NA
35,2006,3.770,0.338,NA,NA
35,2011,3.973,0.203,0.541,NA
35,2016,3.406,-0.568,-0.365,-0.027
36,2001,3.848,NA,NA,NA
36,2006,3.577,-0.270,NA,NA
36,2011,3.754,0.176,-0.094,NA
36,2016,3.901,0.148,0.324,0.054
37,2001,3.450,NA,NA,NA
37,2006,3.361,-0.089,NA,NA
37,2016,3.870,0.508,0.419,NA
38,2001,3.240,NA,NA,NA
38,2006,3.217,-0.023,NA,NA
38,2011,3.465,0.247,0.224,NA
38,2016,3.819,0.354,0.602,0.578
39,2001,3.164,NA,NA,NA
39,2006,2.728,-0.436,NA,NA
39,2011,3.303,0.574,0.138,NA
39,2016,3.421,0.118,0.693,0.256
40,2006,2.871,NA,NA,NA
40,2011,3.047,0.176,NA,NA
40,2016,3.412,0.364,0.541,NA
41,2001,2.866,NA,NA,NA
41,2006,2.871,0.005,NA,NA
41,2011,3.047,0.177,0.181,NA
41,2016,3.355,0.307,0.484,0.488
42,2001,2.936,NA,NA,NA
42,2006,2.801,-0.135,NA,NA
42,2011,3.034,0.233,0.098,NA
43,2001,2.917,NA,NA,NA
43,2006,3.408,0.491,NA,NA
43,2011,3.400,-0.008,0.483,NA
43,2016,3.345,-0.055,-0.063,0.428
44,2001,3.333,NA,NA,NA
44,2006,2.859,-0.475,NA,NA
44,2011,3.431,0.572,0.097,NA
44,2016,3.444,0.013,0.586,0.111
45,2001,2.869,NA,NA,NA
45,2006,3.284,0.416,NA,NA
45,2011,2.990,-0.294,0.122,NA
45,2016,3.638,0.648,0.354,0.770
46,2001,3.436,NA,NA,NA
46,2006,3.851,0.415,NA,NA
46,2016,3.416,-0.435,-0.020,NA
47,2001,2.875,NA,NA,NA
47,2006,3.072,0.197,NA,NA
47,2011,3.206,0.133,0.330,NA
48,2001,3.051,NA,NA,NA
48,2006,3.436,0.385,NA,NA
48,2011,3.201,-0.234,0.150,NA
48,2016,3.484,0.282,0.048,0.433
49,2001,3.288,NA,NA,NA
49,2006,2.967,-0.321,NA,NA
49,2011,3.603,0.636,0.315,NA
49,2016,3.006,-0.597,0.039,-0.282
50,2001,2.983,NA,NA,NA
50,2006,2.690,-0.293,NA,NA
50,2011,3.585,0.895,0.602,NA
50,2016,3.171,-0.414,0.481,0.188
51,2001,2.695,NA,NA,NA
51,2006,3.169,0.475,NA,NA
51,2011,3.202,0.033,0.508,NA
51,2016,3.194,-0.008,0.025,0.500
52,2001,3.093,NA,NA,NA
52,2006,3.214,0.120,NA,NA
52,2011,3.052,-0.161,-0.041,NA
52,2016,3.252,0.200,0.038,0.159
53,2001,3.143,NA,NA,NA
53,2011,2.847,-0.296,NA,NA
53,2016,3.073,0.226,-0.070,NA
54,2006,3.368,NA,NA,NA
54,2011,3.046,-0.322,NA,NA
54,2016,3.065,0.018,-0.304,NA
55,2001,3.325,NA,NA,NA
55,2006,3.094,-0.232,NA,NA
55,2011,3.066,-0.028,-0.259,NA
56,2001,3.109,NA,NA,NA
56,2006,2.836,-0.273,NA,NA
56,2011,3.537,0.701,0.428,NA
56,2016,3.094,-0.443,0.258,-0.015
57,2001,2.903,NA,NA,NA
57,2006,3.121,0.217,NA,NA
57,2016,3.637,0.516,0.734,NA
58,2001,3.107,NA,NA,NA
58,2006,3.049,-0.058,NA,NA
58,2016,3.245,0.196,0.138,NA
59,2001,2.997,NA,NA,NA
59,2006,2.991,-0.006,NA,NA
60,2001,2.921,NA,NA,NA
60,2006,2.826,-0.095,NA,NA
60,2011,2.898,0.072,-0.023,NA
60,2016,3.639,0.741,0.814,0.719
61,2001,2.980,NA,NA,NA
61,2006,2.885,-0.095,NA,NA
61,2011,2.701,-0.184,-0.280,NA
62,2001,2.898,NA,NA,NA
62,2006,2.905,0.007,NA,NA
62,2011,3.357,0.452,0.459,NA
63,2001,2.852,NA,NA,NA
63,2006,3.010,0.158,NA,NA
63,2011,3.851,0.842,0.999,NA
64,2001,2.983,NA,NA,NA
64,2006,2.825,-0.158,NA,NA
64,2011,2.998,0.173,0.015,NA
64,2016,2.994,-0.004,0.169,0.010
65,2001,2.855,NA,NA,NA
65,2006,2.921,0.067,NA,NA
65,2011,3.096,0.175,0.242,NA
65,2016,4.782,1.686,1.861,1.928
66,2001,3.040,NA,NA,NA
66,2006,3.117,0.076,NA,NA
66,2011,3.454,0.338,0.414,NA
66,2016,3.032,-0.422,-0.084,-0.008
67,2001,3.081,NA,NA,NA
67,2006,2.808,-0.273,NA,NA
67,2011,3.052,0.244,-0.029,NA
67,2016,3.090,0.038,0.282,0.009
68,2001,2.851,NA,NA,NA
68,2006,3.110,0.259,NA,NA
68,2011,3.106,-0.003,0.256,NA
68,2016,3.290,0.183,0.180,0.439
69,2011,3.070,NA,NA,NA
69,2016,3.134,0.063,NA,NA
70,2001,2.907,NA,NA,NA
70,2006,2.884,-0.023,NA,NA
70,2011,3.004,0.120,0.097,NA
70,2016,3.596,0.593,0.713,0.689
71,2011,2.990,NA,NA,NA
71,2016,3.134,0.144,NA,NA
72,2001,2.628,NA,NA,NA
72,2006,2.704,0.076,NA,NA
72,2011,3.484,0.780,0.856,NA
72,2016,3.255,-0.229,0.551,0.627
73,2001,3.005,NA,NA,NA
73,2006,2.828,-0.177,NA,NA
73,2011,3.138,0.310,0.133,NA
73,2016,3.031,-0.107,0.203,0.026
74,2001,2.871,NA,NA,NA
74,2006,2.799,-0.073,NA,NA
74,2011,2.978,0.179,0.107,NA
74,2016,3.267,0.289,0.468,0.395
75,2001,2.746,NA,NA,NA
75,2006,2.541,-0.205,NA,NA
75,2011,3.137,0.596,0.391,NA
75,2016,3.141,0.004,0.600,0.395
76,2001,2.762,NA,NA,NA
76,2006,3.235,0.473,NA,NA
76,2011,3.092,-0.143,0.331,NA
76,2016,3.244,0.152,0.009,0.483
77,2001,3.228,NA,NA,NA
77,2006,3.434,0.206,NA,NA
78,2001,3.382,NA,NA,NA
78,2006,3.006,-0.376,NA,NA
78,2011,2.915,-0.090,-0.466,NA
78,2016,3.134,0.219,0.128,-0.248
79,2001,3.003,NA,NA,NA
79,2011,3.016,0.014,NA,NA
79,2016,3.522,0.505,0.519,NA
80,2006,3.382,NA,NA,NA
80,2011,3.098,-0.284,NA,NA
80,2016,3.143,0.045,-0.239,NA
81,2001,3.280,NA,NA,NA
81,2011,2.694,-0.586,NA,NA
81,2016,2.996,0.302,-0.284,NA
82,2011,2.974,NA,NA,NA
82,2016,2.980,0.006,NA,NA
84,2011,2.723,NA,NA,NA
84,2016,2.899,0.176,NA,NA
85,2001,2.796,NA,NA,NA
85,2006,2.813,0.017,NA,NA
85,2011,2.940,0.127,0.144,NA
85,2016,2.824,-0.116,0.012,0.029
86,2001,3.016,NA,NA,NA
86,2006,2.903,-0.112,NA,NA
86,2011,2.723,-0.180,-0.293,NA
86,2016,2.924,0.201,0.020,-0.092
87,2006,2.851,NA,NA,NA
87,2011,3.193,0.343,NA,NA
87,2016,3.038,-0.155,0.188,NA
88,2001,2.980,NA,NA,NA
88,2006,2.941,-0.038,NA,NA
