,pie,census.year,lnwage,dw,dw2,dw3
1,0,2001,2.461,NA,NA,NA
2,0,2006,2.366,-0.095,NA,NA
3,0,2016,2.504,0.138,0.043,NA
4,1,2001,2.531,NA,NA,NA
5,1,2006,2.422,-0.109,NA,NA
6,1,2011,2.563,0.141,0.032,NA
7,1,2016,2.622,0.059,0.2,0.091
8,2,2006,2.463,NA,NA,NA
9,2,2011,2.672,0.209,NA,NA
10,2,2016,2.742,0.07,0.279,NA
11,3,2001,2.568,NA,NA,NA
12,3,2006,2.52,-0.048,NA,NA
13,3,2011,2.684,0.164,0.116,NA
14,3,2016,2.793,0.109,0.273,0.225
15,4,2001,2.583,NA,NA,NA
16,4,2006,2.532,-0.051,NA,NA
17,4,2011,2.685,0.153,0.102,NA
18,4,2016,2.796,0.111,0.264,0.213
19,5,2001,2.592,NA,NA,NA
20,5,2006,2.541,-0.051,NA,NA
21,5,2011,2.687,0.146,0.095,NA
22,6,2001,2.595,NA,NA,NA
23,6,2006,2.555,-0.04,NA,NA
24,6,2016,2.798,0.243,0.203,NA
25,7,2001,2.626,NA,NA,NA
26,7,2011,2.694,0.068,NA,NA
27,7,2016,2.8,0.106,0.174,NA
28,8,2001,2.663,NA,NA,NA
29,8,2006,2.573,-0.09,NA,NA
30,8,2011,2.701,0.128,0.038,NA
31,9,2011,2.708,NA,NA,NA
32,9,2016,2.818,0.11,NA,NA
33,10,2001,2.668,NA,NA,NA
34,10,2006,2.578,-0.09,NA,NA
35,10,2011,2.736,0.158,0.068,NA
36,11,2001,2.675,NA,NA,NA
37,11,2006,2.599,-0.076,NA,NA
38,11,2016,2.834,0.235,0.159,NA
39,12,2001,2.694,NA,NA,NA
40,12,2006,2.616,-0.078,NA,NA
41,12,2011,2.743,0.127,0.049,NA
42,12,2016,2.865,0.122,0.249,0.171
43,13,2001,2.709,NA,NA,NA
44,13,2006,2.674,-0.035,NA,NA
45,13,2011,2.774,0.1,0.065,NA
46,13,2016,2.879,0.105,0.205,0.17
47,14,2001,2.734,NA,NA,NA
48,14,2006,2.694,-0.04,NA,NA
49,14,2011,2.794,0.1,0.06,NA
50,14,2016,2.912,0.118,0.218,0.178
51,15,2001,2.759,NA,NA,NA
52,15,2006,2.716,-0.043,NA,NA
53,15,2011,2.807,0.091,0.048,NA
54,15,2016,2.925,0.118,0.209,0.166
55,16,2001,2.77,NA,NA,NA
56,16,2006,2.729,-0.041,NA,NA
57,16,2011,2.833,0.104,0.063,NA
58,16,2016,2.929,0.096,0.2,0.159
59,17,2001,2.777,NA,NA,NA
60,17,2006,2.747,-0.03,NA,NA
61,17,2011,2.847,0.1,0.07,NA
62,17,2016,2.942,0.095,0.195,0.165
63,18,2006,2.758,NA,NA,NA
64,18,2011,2.86,0.102,NA,NA
65,18,2016,2.968,0.108,0.21,NA
66,19,2006,2.765,NA,NA,NA
67,19,2011,2.889,0.124,NA,NA
68,19,2016,2.973,0.084,0.208,NA
69,20,2006,2.784,NA,NA,NA
70,20,2011,2.89,0.106,NA,NA
71,21,2011,2.894,NA,NA,NA
72,22,2001,2.782,NA,NA,NA
73,23,2001,2.799,NA,NA,NA
74,23,2016,2.981,0.182,NA,NA
75,24,2001,2.803,NA,NA,NA
76,24,2016,2.981,0.178,NA,NA
77,25,2001,2.811,NA,NA,NA
78,25,2006,2.796,-0.015,NA,NA
79,25,2011,2.897,0.101,0.086,NA
80,25,2016,2.986,0.089,0.19,0.175
81,26,2006,2.807,NA,NA,NA
82,26,2011,2.911,0.104,NA,NA
83,26,2016,3.001,0.09,0.194,NA
84,27,2001,2.817,NA,NA,NA
85,27,2006,2.809,-0.008,NA,NA
86,27,2011,2.914,0.105,0.097,NA
87,27,2016,3.004,0.09,0.195,0.187
88,28,2001,2.838,NA,NA,NA
89,28,2006,2.818,-0.02,NA,NA
90,28,2011,2.916,0.098,0.078,NA
91,29,2001,2.84,NA,NA,NA
92,29,2011,2.923,0.083,NA,NA
93,29,2016,3.011,0.088,0.171,NA
94,30,2001,2.842,NA,NA,NA
95,30,2006,2.828,-0.014,NA,NA
96,30,2011,2.93,0.102,0.088,NA
97,30,2016,3.021,0.091,0.193,0.179
98,31,2006,2.841,NA,NA,NA
99,31,2011,2.949,0.108,NA,NA
100,31,2016,3.039,0.09,0.198,NA
101,32,2001,2.852,NA,NA,NA
102,32,2006,2.849,-0.003,NA,NA
103,32,2011,2.957,0.108,0.105,NA
104,32,2016,3.069,0.112,0.22,0.217
105,33,2001,2.858,NA,NA,NA
106,33,2011,2.963,0.105,NA,NA
107,33,2016,3.078,0.115,0.22,NA
108,34,2001,2.887,NA,NA,NA
109,34,2006,2.851,-0.036,NA,NA
110,34,2011,2.969,0.118,0.082,NA
111,34,2016,3.085,0.116,0.234,0.198
112,35,2001,2.903,NA,NA,NA
113,35,2006,2.858,-0.045,NA,NA
114,35,2016,3.092,0.234,0.189,NA
115,36,2006,2.865,NA,NA,NA
116,36,2011,2.975,0.11,NA,NA
117,36,2016,3.094,0.119,0.229,NA
118,37,2001,2.909,NA,NA,NA
119,37,2006,2.871,-0.038,NA,NA
120,37,2011,2.978,0.107,0.069,NA
121,37,2016,3.099,0.121,0.228,0.19
122,38,2001,2.932,NA,NA,NA
123,38,2006,2.88,-0.052,NA,NA
124,38,2011,2.988,0.108,0.056,NA
125,38,2016,3.102,0.114,0.222,0.17
126,39,2001,2.938,NA,NA,NA
127,39,2011,3.005,0.067,NA,NA
128,39,2016,3.108,0.103,0.17,NA
129,40,2001,2.947,NA,NA,NA
130,40,2006,2.885,-0.062,NA,NA
131,40,2011,3.026,0.141,0.079,NA
132,40,2016,3.121,0.095,0.236,0.174
133,41,2001,2.956,NA,NA,NA
134,41,2006,2.898,-0.058,NA,NA
135,41,2011,3.051,0.153,0.095,NA
136,41,2016,3.133,0.082,0.235,0.177
137,42,2006,2.904,NA,NA,NA
138,42,2011,3.058,0.154,NA,NA
139,42,2016,3.148,0.09,0.244,NA
140,43,2006,2.905,NA,NA,NA
141,43,2011,3.07,0.165,NA,NA
142,43,2016,3.157,0.087,0.252,NA
143,44,2001,2.967,NA,NA,NA
144,44,2006,2.909,-0.058,NA,NA
145,44,2011,3.088,0.179,0.121,NA
146,44,2016,3.167,0.079,0.258,0.2
147,45,2001,2.975,NA,NA,NA
148,45,2006,2.942,-0.033,NA,NA
149,45,2011,3.098,0.156,0.123,NA
150,45,2016,3.173,0.075,0.231,0.198
151,46,2001,2.977,NA,NA,NA
152,46,2006,2.956,-0.021,NA,NA
153,46,2011,3.104,0.148,0.127,NA
154,46,2016,3.182,0.078,0.226,0.205
155,47,2001,2.981,NA,NA,NA
156,47,2006,2.986,0.005,NA,NA
157,47,2011,3.111,0.125,0.13,NA
158,47,2016,3.187,0.076,0.201,0.206
159,48,2001,2.998,NA,NA,NA
160,48,2006,3.001,0.003,NA,NA
161,48,2011,3.117,0.116,0.119,NA
162,48,2016,3.191,0.074,0.19,0.193
163,49,2001,3.001,NA,NA,NA
164,49,2006,3.015,0.014,NA,NA
165,49,2011,3.123,0.108,0.122,NA
166,49,2016,3.195,0.072,0.18,0.194
167,50,2001,3.002,NA,NA,NA
168,50,2006,3.024,0.022,NA,NA
169,50,2011,3.141,0.117,0.139,NA
170,50,2016,3.213,0.072,0.189,0.211
171,51,2001,3.012,NA,NA,NA
172,51,2016,3.238,0.226,NA,NA
173,52,2001,3.021,NA,NA,NA
174,52,2006,3.027,0.006,NA,NA
175,52,2011,3.151,0.124,0.13,NA
176,52,2016,3.245,0.094,0.218,0.224
177,53,2001,3.031,NA,NA,NA
178,53,2006,3.036,0.005,NA,NA
179,53,2016,3.248,0.212,0.217,NA
180,54,2001,3.038,NA,NA,NA
181,54,2006,3.052,0.014,NA,NA
182,54,2016,3.262,0.21,0.224,NA
183,55,2001,3.044,NA,NA,NA
184,55,2006,3.065,0.021,NA,NA
185,55,2011,3.159,0.094,0.115,NA
186,55,2016,3.276,0.117,0.211,0.232
187,56,2001,3.048,NA,NA,NA
188,56,2011,3.175,0.127,NA,NA
189,57,2001,3.051,NA,NA,NA
190,57,2006,3.073,0.022,NA,NA
191,57,2011,3.184,0.111,0.133,NA
192,57,2016,3.294,0.11,0.221,0.243
193,58,2001,3.061,NA,NA,NA
194,58,2006,3.086,0.025,NA,NA
195,58,2011,3.188,0.102,0.127,NA
196,58,2016,3.318,0.13,0.232,0.257
197,59,2001,3.072,NA,NA,NA
198,59,2006,3.106,0.034,NA,NA
199,59,2011,3.201,0.095,0.129,NA
200,59,2016,3.339,0.138,0.233,0.267
201,60,2001,3.101,NA,NA,NA
202,60,2006,3.116,0.015,NA,NA
203,60,2011,3.224,0.108,0.123,NA
204,61,2001,3.113,NA,NA,NA
205,61,2006,3.126,0.013,NA,NA
206,61,2011,3.251,0.125,0.138,NA
207,62,2001,3.127,NA,NA,NA
208,62,2006,3.142,0.015,NA,NA
209,62,2011,3.266,0.124,0.139,NA
210,62,2016,3.355,0.089,0.213,0.228
211,63,2001,3.135,NA,NA,NA
212,63,2006,3.156,0.021,NA,NA
213,63,2011,3.285,0.129,0.15,NA
214,63,2016,3.356,0.071,0.2,0.221
215,64,2001,3.149,NA,NA,NA
216,64,2006,3.175,0.026,NA,NA
217,64,2011,3.296,0.121,0.147,NA
218,64,2016,3.377,0.081,0.202,0.228
219,65,2001,3.158,NA,NA,NA
220,65,2006,3.188,0.03,NA,NA
221,65,2011,3.305,0.117,0.147,NA
222,65,2016,3.398,0.093,0.21,0.24
223,66,2001,3.166,NA,NA,NA
224,66,2006,3.204,0.038,NA,NA
225,66,2011,3.32,0.116,0.154,NA
226,66,2016,3.407,0.087,0.203,0.241
227,67,2001,3.182,NA,NA,NA
228,67,2006,3.21,0.028,NA,NA
229,67,2011,3.352,0.142,0.17,NA
230,67,2016,3.413,0.061,0.203,0.231
231,68,2001,3.197,NA,NA,NA
232,68,2006,3.229,0.032,NA,NA
233,68,2011,3.371,0.142,0.174,NA
234,68,2016,3.435,0.064,0.206,0.238
235,69,2001,3.207,NA,NA,NA
236,69,2006,3.244,0.037,NA,NA
237,69,2011,3.379,0.135,0.172,NA
238,69,2016,3.451,0.072,0.207,0.244
239,70,2001,3.229,NA,NA,NA
240,70,2011,3.398,0.169,NA,NA
241,70,2016,3.471,0.073,0.242,NA
242,71,2001,3.256,NA,NA,NA
243,71,2006,3.255,-0.001,NA,NA
244,71,2011,3.417,0.162,0.161,NA
245,71,2016,3.49,0.073,0.235,0.234
246,72,2001,3.272,NA,NA,NA
247,72,2006,3.259,-0.013,NA,NA
248,72,2011,3.439,0.18,0.167,NA
249,72,2016,3.496,0.057,0.237,0.224
250,73,2001,3.275,NA,NA,NA
251,73,2006,3.281,0.006,NA,NA
252,73,2011,3.456,0.175,0.181,NA
253,73,2016,3.504,0.048,0.223,0.229
254,74,2001,3.3,NA,NA,NA
255,74,2006,3.303,0.003,NA,NA
256,74,2011,3.477,0.174,0.177,NA
257,74,2016,3.515,0.038,0.212,0.215
258,75,2006,3.323,NA,NA,NA
259,75,2011,3.484,0.161,NA,NA
260,75,2016,3.528,0.044,0.205,NA
261,76,2001,3.311,NA,NA,NA
262,76,2006,3.346,0.035,NA,NA
263,76,2011,3.495,0.149,0.184,NA
264,76,2016,3.542,0.047,0.196,0.231
265,77,2001,3.324,NA,NA,NA
266,77,2006,3.368,0.044,NA,NA
267,77,2011,3.514,0.146,0.19,NA
268,77,2016,3.548,0.034,0.18,0.224
269,78,2001,3.333,NA,NA,NA
270,78,2006,3.371,0.038,NA,NA
271,78,2011,3.528,0.157,0.195,NA
272,78,2016,3.567,0.039,0.196,0.234
273,79,2011,3.538,NA,NA,NA
274,79,2016,3.6,0.062,NA,NA
275,80,2001,3.338,NA,NA,NA
276,80,2006,3.388,0.05,NA,NA
277,80,2011,3.55,0.162,0.212,NA
278,80,2016,3.629,0.079,0.241,0.291
279,81,2006,3.415,NA,NA,NA
280,81,2011,3.568,0.153,NA,NA
281,81,2016,3.638,0.07,0.223,NA
282,82,2001,3.349,NA,NA,NA
283,82,2006,3.422,0.073,NA,NA
284,82,2016,3.641,0.219,0.292,NA
285,83,2001,3.365,NA,NA,NA
286,83,2006,3.429,0.064,NA,NA
287,83,2011,3.585,0.156,0.22,NA
288,83,2016,3.654,0.069,0.225,0.289
289,84,2001,3.379,NA,NA,NA
290,84,2006,3.433,0.054,NA,NA
291,84,2011,3.588,0.155,0.209,NA
292,85,2001,3.406,NA,NA,NA
293,85,2006,3.444,0.038,NA,NA
294,85,2011,3.604,0.16,0.198,NA
295,85,2016,3.668,0.064,0.224,0.262
296,86,2001,3.418,NA,NA,NA
297,86,2006,3.464,0.046,NA,NA
298,86,2011,3.609,0.145,0.191,NA
299,86,2016,3.692,0.083,0.228,0.274
300,87,2001,3.452,NA,NA,NA
301,87,2006,3.477,0.025,NA,NA
302,87,2011,3.622,0.145,0.17,NA
303,87,2016,3.715,0.093,0.238,0.263
304,88,2001,3.469,NA,NA,NA
305,88,2006,3.5,0.031,NA,NA
306,88,2011,3.635,0.135,0.166,NA
307,88,2016,3.731,0.096,0.231,0.262
308,89,2001,3.474,NA,NA,NA
309,89,2006,3.53,0.056,NA,NA
310,89,2011,3.645,0.115,0.171,NA
311,89,2016,3.754,0.109,0.224,0.28
312,90,2001,3.491,NA,NA,NA
313,90,2006,3.554,0.063,NA,NA
