REF_DATE,VALUE,i.VALUE,adjustment,real_value,country
1963,458,16.1,0.161,2844.72049689441,Canada
1964,555,16.4,0.164,3384.14634146342,Canada
1965,662,16.8,0.168,3940.47619047619,Canada
1966,750,17.5,0.175,4285.71428571429,Canada
1967,853,18.1,0.181,4712.70718232044,Canada
1968,910,18.8,0.188,4840.42553191489,Canada
1969,986,19.7,0.197,5005.07614213198,Canada
1970,1069,20.3,0.203,5266.00985221675,Canada
1971,1285,20.9,0.209,6148.32535885167,Canada
1972,1372,21.9,0.219,6264.8401826484,Canada
1973,1470,23.6,0.236,6228.81355932203,Canada
1974,1689,26.2,0.262,6446.56488549618,Canada
1975,1901,29,0.29,6555.1724137931,Canada
1976,2071,31.1,0.311,6659.16398713826,Canada
1977,2322,33.6,0.336,6910.71428571429,Canada
1978,2609,36.6,0.366,7128.41530054645,Canada
1979,3044,40,0.4,7610,Canada
1980,3575,44,0.44,8125,Canada
1981,4415,49.5,0.495,8919.19191919192,Canada
1982,5198,54.9,0.549,9468.12386156649,Canada
1983,5517,58.1,0.581,9495.69707401033,Canada
1984,6273,60.6,0.606,10351.4851485149,Canada
1985,6985,63,0.63,11087.3015873016,Canada
1986,7546,65.6,0.656,11503.0487804878,Canada
1987,7950,68.5,0.685,11605.8394160584,Canada
1988,9045,71.2,0.712,12703.6516853933,Canada
1989,9517,74.8,0.748,12723.2620320856,Canada
1990,10260,78.4,0.784,13086.7346938776,Canada
1991,10767,82.8,0.828,13003.6231884058,Canada
1992,11338,84,0.84,13497.6190476191,Canada
1993,12184,85.6,0.856,14233.6448598131,Canada
1994,13341,85.7,0.857,15567.0945157526,Canada
1995,13754,87.6,0.876,15700.9132420091,Canada
1996,13817,88.9,0.889,15542.1822272216,Canada
1997,14635,90.4,0.904,16189.1592920354,Canada
1998,16088,91.3,0.913,17621.0295728368,Canada
1999,17637,92.9,0.929,18984.9300322928,Canada
2000,20555,95.4,0.954,21546.1215932914,Canada
2001,23132,97.8,0.978,23652.3517382413,Canada
2002,23534,100,1,23534,Canada
2003,24693,102.8,1.028,24020.4280155642,Canada
2004,26680,104.7,1.047,25482.3304680038,Canada
2005,28022,107,1.07,26188.785046729,Canada
2006,29079,109.1,1.091,26653.528872594,Canada
2007,30038,111.5,1.115,26939.9103139013,Canada
2008,30751,114.1,1.141,26950.9202453988,Canada
2009,30129,114.4,1.144,26336.5384615385,Canada
2010,30412,116.5,1.165,26104.7210300429,Canada
2011,31705,119.9,1.199,26442.869057548,Canada
2012,32383,121.7,1.217,26608.8742810189,Canada
2013,32441,122.8,1.228,26417.7524429967,Canada
2014,34197,125.2,1.252,27313.8977635783,Canada
2015,33704,126.6,1.266,26622.4328593997,Canada
2016,35016,128.4,1.284,27271.0280373832,Canada
2017,36087,130.4,1.304,27674.0797546012,Canada
2018,37465,133.4,1.334,28084.7076461769,Canada
2019,36777,136,1.36,27041.9117647059,Canada
2020,37436,137,1.37,27325.5474452555,Canada
