Year,Index,label,Scaleup
2011,100,Kauffman Employment Scale-up,Scale-up
2011,100,Kauffman Employment Non-Scale-up,Non-Scale-up
2011,100,OECD Employment Scale-up,Scale-up
2011,100,OECD Employment Non-Scale-up,Non-Scale-up
2011,100,Kauffman Revenue Scale-up,Scale-up
2011,100,Kauffman Revenue Non-Scale-up,Non-Scale-up
2012,74.24235993,Kauffman Employment Scale-up,Scale-up
2012,86.78596846,Kauffman Employment Non-Scale-up,Non-Scale-up
2012,107.5000057,OECD Employment Scale-up,Scale-up
2012,91.59873832,OECD Employment Non-Scale-up,Non-Scale-up
2012,103.8813499,Kauffman Revenue Scale-up,Scale-up
2012,89.0547431,Kauffman Revenue Non-Scale-up,Non-Scale-up
2013,67.17055797,Kauffman Employment Scale-up,Scale-up
2013,82.79384196,Kauffman Employment Non-Scale-up,Non-Scale-up
2013,95.71645234,OECD Employment Scale-up,Scale-up
2013,85.2035853,OECD Employment Non-Scale-up,Non-Scale-up
2013,90.32041666,Kauffman Revenue Scale-up,Scale-up
2013,82.43813316,Kauffman Revenue Non-Scale-up,Non-Scale-up
2014,80.054513,Kauffman Employment Scale-up,Scale-up
2014,86.00311504,Kauffman Employment Non-Scale-up,Non-Scale-up
2014,86.80900978,OECD Employment Scale-up,Scale-up
2014,80.73505527,OECD Employment Non-Scale-up,Non-Scale-up
2014,87.90817032,Kauffman Revenue Scale-up,Scale-up
2014,75.73845345,Kauffman Revenue Non-Scale-up,Non-Scale-up
2015,82.7846307,Kauffman Employment Scale-up,Scale-up
2015,79.41076432,Kauffman Employment Non-Scale-up,Non-Scale-up
2015,78.26393421,OECD Employment Scale-up,Scale-up
2015,73.61543498,OECD Employment Non-Scale-up,Non-Scale-up
2015,83.68841776,Kauffman Revenue Scale-up,Scale-up
2015,68.41282745,Kauffman Revenue Non-Scale-up,Non-Scale-up
2016,71.42906936,Kauffman Employment Scale-up,Scale-up
2016,70.84810708,Kauffman Employment Non-Scale-up,Non-Scale-up
2016,72.59501768,OECD Employment Scale-up,Scale-up
2016,64.77183966,OECD Employment Non-Scale-up,Non-Scale-up
2016,77.09644097,Kauffman Revenue Scale-up,Scale-up
2016,60.12157904,Kauffman Revenue Non-Scale-up,Non-Scale-up
