OCC,COUNT_TOT,WITH_INC,MED_INC,AVG_INC,COUNT_WAGE,MED_WAGE,AVG_WAGE,NOC,noc_title,harm.rank,relative.measure
0012 Senior government managers and officials,18785,18315,103405,114932,18030,103847,115565,0012,0012 Senior government managers and officials,168.134216470406,-168.134216470406
"0013 Senior managers - financial, communications and other business services",65800,58320,114942,215991,53985,122952,228481,0013,"0013 Senior managers - financial, communications and other business services",168.134216470406,-168.134216470406
"0014 Senior managers - health, education, social and community services and membership organizations",27870,26590,82126,104171,25660,83676,105713,0014,"0014 Senior managers - health, education, social and community services and membership organizations",168.134216470406,-168.134216470406
"0015 Senior managers - trade, broadcasting and other services, n.e.c.",53950,48210,76145,159398,44765,82159,168939,0015,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",175.238657141241,-175.238657141241
"0016 Senior managers - construction, transportation, production and utilities",62835,56825,97163,190444,53380,102653,199221,0016,"0016 Senior managers - construction, transportation, production and utilities",168.134216470406,-168.134216470406
0111 Financial managers,78055,75830,84119,105083,73990,84794,105549,0111,0111 Financial managers,176.006265080149,-176.006265080149
0112 Human resources managers,51875,50825,82895,92330,50200,83140,92815,0112,0112 Human resources managers,145.000401101664,-145.000401101664
0113 Purchasing managers,22625,22075,84921,97705,21705,85399,98483,0113,0113 Purchasing managers,106.509711069091,-106.509711069091
0114 Other administrative services managers,34240,32775,72301,90152,31660,73849,91450,0114,0114 Other administrative services managers,130.660499224479,-130.660499224479
"0121 Insurance, real estate and financial brokerage managers",33310,29800,82967,134031,25555,86653,143560,0121,"0121 Insurance, real estate and financial brokerage managers",97.8229603338416,-97.8229603338416
"0122 Banking, credit and other investment managers",64120,63030,79506,101952,62170,79948,102340,0122,"0122 Banking, credit and other investment managers",121.070449538918,-121.070449538918
"0124 Advertising, marketing and public relations managers",71970,68505,70159,82786,65070,71964,84918,0124,"0124 Advertising, marketing and public relations managers",152.349333880641,-152.349333880641
0125 Other business services managers,24100,21410,53748,73232,18120,59988,78398,0125,0125 Other business services managers,122.689884593229,-122.689884593229
0131 Telecommunication carriers managers,14615,14310,89437,99344,14075,90008,100243,0131,0131 Telecommunication carriers managers,8.34768986192339,-8.34768986192339
0132 Postal and courier services managers,3735,3590,58501,65679,3310,63073,68423,0132,0132 Postal and courier services managers,102.566798566698,-102.566798566698
0211 Engineering managers,20445,19785,112673,132183,19380,114038,134048,0211,0211 Engineering managers,9.65437023784934,-9.65437023784934
0212 Architecture and science managers,9295,9010,93364,108156,8790,94148,109754,0212,0212 Architecture and science managers,45.9644119026585,-45.9644119026585
0213 Computer and information systems managers,66095,63720,99566,109506,62150,100257,110976,0213,0213 Computer and information systems managers,20.0520199225235,-20.0520199225235
0311 Managers in health care,33855,32795,85647,86934,31960,86210,87316,0311,0311 Managers in health care,52.8149865051741,-52.8149865051741
0414 Other managers in public administration,8925,8820,89602,90466,8745,90199,90779,0414,0414 Other managers in public administration,215.103946474866,-215.103946474866
0421 Administrators - post-secondary education and vocational training,18180,17705,75298,82294,17365,76049,82659,0421,0421 Administrators - post-secondary education and vocational training,206.058677685302,-206.058677685302
0422 School principals and administrators of elementary and secondary education,33050,32280,102820,97026,31660,103315,98237,0422,0422 School principals and administrators of elementary and secondary education,206.18037702948,-206.18037702948
"0423 Managers in social, community and correctional services",31240,30360,57613,62576,29270,58586,63667,0423,"0423 Managers in social, community and correctional services",174.747817981067,-174.747817981067
0431 Commissioned police officers,2090,2065,114839,119203,2050,115144,118657,0431,0431 Commissioned police officers,73.1893200192476,-73.1893200192476
0432 Fire chiefs and senior firefighting officers,2535,2500,106062,104334,2490,105535,104344,0432,0432 Fire chiefs and senior firefighting officers,83.0490898488562,-83.0490898488562
"0512 Managers - publishing, motion pictures, broadcasting and performing arts",8185,7665,58248,69800,6905,61726,73968,0512,"0512 Managers - publishing, motion pictures, broadcasting and performing arts",25.5156980807399,-25.5156980807399
"0513 Recreation, sports and fitness program and service directors",13380,12580,45338,52573,11830,46684,53813,0513,"0513 Recreation, sports and fitness program and service directors",350.619896493032,-350.619896493032
0601 Corporate sales managers,71360,69575,90557,104587,67790,91774,106084,0601,0601 Corporate sales managers,126.838757349441,-126.838757349441
0621 Retail and wholesale trade managers,416720,391680,43105,58312,359350,45236,61386,0621,0621 Retail and wholesale trade managers,118.272191299796,-118.272191299796
0631 Restaurant and food service managers,138130,128255,30517,37596,118460,31689,38979,0631,0631 Restaurant and food service managers,265.064182855709,-265.064182855709
0632 Accommodation service managers,28715,25835,34604,45138,22390,38386,49812,0632,0632 Accommodation service managers,62.8715567753268,-62.8715567753268
"0651 Managers in customer and personal services, n.e.c.",30040,27050,28715,37506,21095,32528,41109,0651,"0651 Managers in customer and personal services, n.e.c.",154.745912970992,-154.745912970992
0711 Construction managers,90830,83000,67425,83418,73435,73306,89832,0711,0711 Construction managers,72.2973611014313,-72.2973611014313
0712 Home building and renovation managers,55595,46485,24307,38429,27695,33376,48358,0712,0712 Home building and renovation managers,72.2973611014313,-72.2973611014313
0714 Facility operation and maintenance managers,61535,58135,60296,72932,55460,62020,74866,0714,0714 Facility operation and maintenance managers,162.330089651479,-162.330089651479
0731 Managers in transportation,36800,34995,71855,84972,33120,73953,87734,0731,0731 Managers in transportation,136.709161381926,-136.709161381926
0821 Managers in agriculture,167270,147370,18112,28004,72300,23767,34495,0821,0821 Managers in agriculture,155.023785345489,-155.023785345489
0822 Managers in horticulture,5520,5010,25388,36562,3770,32012,43327,0822,0822 Managers in horticulture,258.018942379062,-258.018942379062
0823 Managers in aquaculture,1375,1250,47000,48342,1085,53001,52727,0823,0823 Managers in aquaculture,117.963166750581,-117.963166750581
0911 Manufacturing managers,73880,70225,74805,96052,67340,76440,98276,0911,0911 Manufacturing managers,132.075134021429,-132.075134021429
0912 Utilities managers,10745,10360,111682,134384,10070,112858,136801,0912,0912 Utilities managers,65.808278518973,-65.808278518973
1111 Financial auditors and accountants,211285,202195,58234,76156,184260,59266,74375,1111,1111 Financial auditors and accountants,123.33301820687,-123.33301820687
1112 Financial and investment analysts,55885,53870,70095,128369,52535,70662,128999,1112,1112 Financial and investment analysts,70.4058279795668,-70.4058279795668
"1113 Securities agents, investment dealers and brokers",16780,14585,55469,131633,12390,61083,148275,1113,"1113 Securities agents, investment dealers and brokers",97.156540633375,-97.156540633375
1114 Other financial officers,121820,115730,57215,88573,93340,58948,93365,1114,1114 Other financial officers,40.7016444756154,-40.7016444756154
1121 Human resources professionals,79615,77525,63588,71014,75115,64144,71631,1121,1121 Human resources professionals,194.796434600417,-194.796434600417
1122 Professional occupations in business management consulting,87855,79155,64394,79942,69085,68025,83173,1122,1122 Professional occupations in business management consulting,105.678636994537,-105.678636994537
"1123 Professional occupations in advertising, marketing and public relations",102145,96460,46582,54629,89845,47901,55850,1123,"1123 Professional occupations in advertising, marketing and public relations",67.8356525919352,-67.8356525919352
"1213 Supervisors, library, correspondence and related information workers",4850,4460,16655,29697,4360,16362,29696,1213,"1213 Supervisors, library, correspondence and related information workers",118.932738612311,-118.932738612311
"1214 Supervisors, mail and message distribution occupations",8725,8635,54625,52123,8570,54619,52134,1214,"1214 Supervisors, mail and message distribution occupations",102.566798566698,-102.566798566698
"1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",49320,48270,50461,55993,47425,50650,56386,1215,"1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",151.89796974299,-151.89796974299
1221 Administrative officers,290885,280105,44037,49092,271145,44542,49621,1221,1221 Administrative officers,188.706597573607,-188.706597573607
1222 Executive assistants,47975,47055,55151,60894,46455,55331,61054,1222,1222 Executive assistants,145.512093577687,-145.512093577687
1223 Human resources and recruitment officers,34345,32995,48987,54771,31755,49681,55349,1223,1223 Human resources and recruitment officers,180.703947016345,-180.703947016345
1224 Property administrators,54640,44685,38412,49030,38505,42179,52816,1224,1224 Property administrators,162.330089651479,-162.330089651479
1225 Purchasing agents and officers,48830,47455,57556,66888,46335,57974,67568,1225,1225 Purchasing agents and officers,118.527083288638,-118.527083288638
1226 Conference and event planners,27540,25595,33658,37301,23270,35365,37980,1226,1226 Conference and event planners,121.118955720821,-121.118955720821
1227 Court officers and justices of the peace,4950,4835,53601,59000,4685,54212,59704,1227,1227 Court officers and justices of the peace,190.74917795183,-190.74917795183
"1228 Employment insurance, immigration, border services and revenue officers",33495,33135,56866,59075,33025,56906,59128,1228,"1228 Employment insurance, immigration, border services and revenue officers",164.791854524644,-164.791854524644
1241 Administrative assistants,277475,264970,35980,36340,256245,36461,36766,1241,1241 Administrative assistants,188.706597573607,-188.706597573607
1242 Legal administrative assistants,42175,40945,44105,44021,39515,44586,44352,1242,1242 Legal administrative assistants,167.354263788645,-167.354263788645
